NAME,LATITUDE,LONGITUDE,DATE,DT32,DX90,TAVG
"GREAT SAND DUNES NATIONAL PARK AND PRESERVE, CO US",37.7332,-105.5119,2012,178,1,46
"GREAT SAND DUNES NATIONAL PARK AND PRESERVE, CO US",37.7332,-105.5119,2014,191,0,44.4
"GREAT SAND DUNES NATIONAL PARK AND PRESERVE, CO US",37.7332,-105.5119,2015,177,2,45
"GREAT SAND DUNES NATIONAL PARK AND PRESERVE, CO US",37.7332,-105.5119,2016,186,2,44.6
"GREAT SAND DUNES NATIONAL PARK AND PRESERVE, CO US",37.7332,-105.5119,2017,174,0,46.2
"JOSHUA TREE NATIONAL PARK, CA US",34.1471,-116.2747,2009,29,131,65.4
"JOSHUA TREE NATIONAL PARK, CA US",34.1471,-116.2747,2010,17,118,64.5
"JOSHUA TREE NATIONAL PARK, CA US",34.1471,-116.2747,2011,34,122,64.5
"JOSHUA TREE NATIONAL PARK, CA US",34.1471,-116.2747,2012,22,150,67.7
"JOSHUA TREE NATIONAL PARK, CA US",34.1471,-116.2747,2013,29,130,66.3
"JOSHUA TREE NATIONAL PARK, CA US",34.1471,-116.2747,2015,25,124,66.8
"JOSHUA TREE NATIONAL PARK, CA US",34.1471,-116.2747,2016,23,115,66.3
"KINGS CANYON NATIONAL PARK, CA US",37.2275,-119.22056,1980,173,0,44.5
"KINGS CANYON NATIONAL PARK, CA US",37.2275,-119.22056,1981,161,0,46.3
"KINGS CANYON NATIONAL PARK, CA US",37.2275,-119.22056,1982,198,0,42.6
"KINGS CANYON NATIONAL PARK, CA US",37.2275,-119.22056,1986,144,,
"KINGS CANYON NATIONAL PARK, CA US",37.2275,-119.22056,1987,136,,
"KINGS CANYON NATIONAL PARK, CA US",37.2275,-119.22056,1988,119,,
"KINGS CANYON NATIONAL PARK, CA US",37.2275,-119.22056,1990,108,0,47.6
"KINGS CANYON NATIONAL PARK, CA US",37.2275,-119.22056,1991,123,0,47.7
"KINGS CANYON NATIONAL PARK, CA US",37.2275,-119.22056,1993,130,0,46.2
"KINGS CANYON NATIONAL PARK, CA US",37.2275,-119.22056,1994,122,0,47.4
"KINGS CANYON NATIONAL PARK, CA US",37.2275,-119.22056,1997,149,0,46.4
"KINGS CANYON NATIONAL PARK, CA US",37.2275,-119.22056,1998,169,0,43.8
"KINGS CANYON NATIONAL PARK, CA US",37.2275,-119.22056,1999,165,0,45.9
"KINGS CANYON NATIONAL PARK, CA US",37.2275,-119.22056,2000,138,,
"KINGS CANYON NATIONAL PARK, CA US",37.2275,-119.22056,2001,155,48,52.8
"KINGS CANYON NATIONAL PARK, CA US",37.2275,-119.22056,2002,172,47,52.6
"KINGS CANYON NATIONAL PARK, CA US",37.2275,-119.22056,2003,165,66,53.8
"KINGS CANYON NATIONAL PARK, CA US",37.2275,-119.22056,2005,156,46,52.9
"KINGS CANYON NATIONAL PARK, CA US",37.2275,-119.22056,2006,175,51,52.6
"KINGS CANYON NATIONAL PARK, CA US",37.2275,-119.22056,2008,170,59,53.2
"KINGS CANYON NATIONAL PARK, CA US",37.2275,-119.22056,2009,172,62,53.1
"KINGS CANYON NATIONAL PARK, CA US",37.2275,-119.22056,2010,181,37,51.3
"KINGS CANYON NATIONAL PARK, CA US",37.2275,-119.22056,2011,182,35,51.6
"KINGS CANYON NATIONAL PARK, CA US",37.2275,-119.22056,2014,133,33,54.6
"KINGS CANYON NATIONAL PARK, CA US",37.2275,-119.22056,2015,120,33,53.7
"KINGS CANYON NATIONAL PARK, CA US",37.2275,-119.22056,2016,120,45,53.8
"KINGS CANYON NATIONAL PARK, CA US",37.2275,-119.22056,2017,126,48,53.9
"MESA VERDE NATIONAL PARK, CO US",37.1996,-108.4893,1980,153,27,50
"MESA VERDE NATIONAL PARK, CO US",37.1996,-108.4893,1981,130,18,51.2
"MESA VERDE NATIONAL PARK, CO US",37.1996,-108.4893,1982,,7,
"MESA VERDE NATIONAL PARK, CO US",37.1996,-108.4893,1985,156,9,48.3
"MESA VERDE NATIONAL PARK, CO US",37.1996,-108.4893,1986,163,4,48.1
"MESA VERDE NATIONAL PARK, CO US",37.1996,-108.4893,1987,159,1,47.3
"MESA VERDE NATIONAL PARK, CO US",37.1996,-108.4893,1988,170,9,47.4
"MESA VERDE NATIONAL PARK, CO US",37.1996,-108.4893,1989,163,18,49
"MESA VERDE NATIONAL PARK, CO US",37.1996,-108.4893,1990,167,13,47.6
